,(通常盤),リリース日,表題曲,c/w
1st,PCDJ-00001,1999.11.03,A･RA･SHI,明日に向かって
2nd,PCCJ-00001,2000.04.05,SUNRISE日本,
,,,HORIZON,
3rd,PCCJ-00002,2000..07.12,台風ジェネレーション,明日に向かって吠えろ
4th,PCCJ-00003,2000.11.08,感謝カンゲキ雨嵐,OK!ALL RIGHT!いい恋をしよう
5th,PCCJ-0005,2001.04.18,君のために僕がいる,はなさない!
6th,PCCJ-0007,2001.08.01,時代,恋はブレッキー
7th,JADA-5001,2002.02.06,a Day in Our Life,
8th,JACA-5080,2002.04.17,ナイスな心意気,
9th,JACA-5081,2002.10.17,PIKA☆NCHI,道(初回限定盤のみ)
10th,JACA-5006,2003.02.13,とまどいながら,君がいいんだ、コイゴコロ
11th,JACA-5010,2003.09.03,ハダシの未来,
,,,言葉より大切なもの,
12th,JACA-5013,2004.02.18,PIKA☆☆NCHI DOUBLE,五里霧中/道 DOUBLE Ver.(初回盤のみ)
13th,JACA-5018,2004.08.18,瞳の中のGalaxy,Hey Hey Lovin' You(通常盤のみ)
,,,Hero,
14th,JACA-5022,2005.03.23,サクラ咲ケ,手つなごぉ
15th,JACA-5027,2005.11.16,WISH,イチオクホシノ/二人の記念日(初回生産限定盤のみ)
16th,JACA-5040,2006.05.17,きっと大丈夫,春風スニーカー/NA!NA!NA!!(通常盤のみ)
17th,JACB-0003,2006.08.02,アオゾラペダル,Kissからはじめよう/夏の終わりに想うこと(通常盤のみ)
18th,JACA-5053,2007.02.21,Love so sweet,いつまでも/ファイトソング(初回盤のみ)
19th,JACA-5060,2007.05.02,We can make it!,Di-Li-Li/Future(初回限定盤のみ)
20th,JACA-5071,2007.09.05,Happiness,Still…/Snowflake(初回限定盤のみ)
21st,JACA-5088,2008.02.20,Step and Go,冬を抱きしめて(通常盤のみ)
22nd,JACA-5104,2008.06.25,One Love,"FINAL feat.WISH,Love so sweet & One Love(初回限定盤のみ)/How to fly(通常盤のみ)"
23rd,JACA-5113,2008.08.20,truth,スマイル(通常盤のみ)
,,,風の向こうへ,
24th,JACA-5124,2008.11.05,Beautiful days,僕が僕のすべて/忘れられない(通常盤のみ)
25th,JACA-5156,2009.03.04,Believe,トビラ(通常盤のみ)
,,,曇りのち、快晴,
26th,JACA-5173,2009.06.27,明日の記憶,
,,,Crazy Moon〜キミ・ハ・ムテキ〜,
27th,JACA-5177,2009.07.01,Everything,season
28th,JACA-5188,2009.11.11,マイガール,時計じかけのアンブレラ/スーパーフレッシュ(通常盤のみ)
29th,JACA-5192,2010.03.03,Troublemaker,揺らせ、今を/もう一歩(通常盤のみ)
30th,JACA-5218,2010.05.19,Monster,スパイラル
31st,JACA-5227/5228,2010.07.07,To be free,
32nd,JACA-5240,2010.09.08,Løve Rainbow,over
33rd,JACA-5233,2010.10.06,Dear Snow,タイムカプセル(通常盤のみ)
34th,JACA-5246,2010.11.10,果てない空,STORY(通常盤のみ)/maboroshi(通常盤のみ)/あの日のメリークリスマス
35th,JACA-5260,2011.02.23,Lotus,ever/Boom Boom(通常盤のみ)
36th,JACA-5287,2011.11.02,迷宮ラブソング,"消えぬ想い(初回限定盤のみ)/together, forever(通常盤のみ)/うたかた(通常盤のみ)/wanna be…(通常盤のみ)"
37th,JACA-5311,2012.03.07,ワイルド アット ハート,How Can I Love(初回限定盤のみ)/ついておいで(通常盤のみ)/ふたりのカタチ(通常盤のみ)
38th,JACA-5316,2012.05.09,Face Down,ひとりじゃないさ(初回限定盤のみ)/目指した未来へ(通常盤のみ)
39th,JACA-5321,2012.06.06,Your Eyes,君がいるから(初回限定盤のみ)/花火(通常盤のみ)/voice(通常盤のみ)
40th,JACA-5354,2013.03.06,Calling,オーライ!!(通常盤のみ)/full of love(通常盤のみ)
,,,Breathless,
41st,JACA-5368,2013.05.29,Endless Game,Magic hour(初回限定盤のみ)/Intergalactic(通常盤のみ)/モノクロ(通常盤のみ)
42nd,JACA-5401,2014.02.12,Bittersweet,Road to Glory/Sync(通常盤のみ)/もっと、いまより(通常盤のみ)
43rd,JACA-5404,2014.04.30,GUTS!,Fly(初回限定盤のみ)/君が笑えるように(通常盤のみ)/Love Wonderland(通常盤のみ)
44th,JACA-5407,2014.05.21,誰も知らない,おかえり(初回限定盤のみ)/Keep on tryin'(通常盤のみ)/ミラクル･サマー(通常盤のみ)
45th,JACA-5453,2015.02.25,Sakura,Rise and Shine(初回限定盤のみ)/同じ空の下で(通常盤のみ)/more and more(通常盤のみ)
46th,JACA-5466,2015.05.13,青空の下、キミのとなり,Dandelion(初回限定盤のみ)/この手のひらに(通常盤のみ)/何度だって(通常盤のみ)
47th,JACA-5474,2015.09.02,愛を叫べ,ユメニカケル/Mr.Lonely(初回限定盤のみ)/It’s good to be bad(通常盤のみ)/I say(通常盤のみ)
48th,JACA-5579,2016.02.24,復活LOVE,affection(初回限定盤のみ)/愛のCollection(通常盤のみ)/Bang Bang(通常盤のみ)/Are you ready now?(通常盤のみ)
49th,JACA-5597,2016.05.18,I seek,ただいま(通常盤のみ)/supersonic(通常盤のみ)
,,,Daylight,
50th,JACA-5621,2016.09.14,Power of the Paradise,花(通常盤のみ)
51st,JACA-5656,2017.04.19,I’ll be there,Round and Round(初回限定盤のみ)/unknown(通常盤のみ)/Treasure of life(通常盤のみ)
