曲名,収録CD,リリース年,タイアップ、備考,クレジット
A･RA･SHI,A･RA･SHI | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,1999,フジテレビ系「バレーボールワールドカップ1999」イメージソング,作詞：J&T / 作曲・編曲：馬飼野康二
明日に向かって,A･RA･SHI,1999,フジテレビ系ドラマ「Vの嵐」主題歌,作詞：大塚雄三 / 作曲・編曲：馬飼野康二
REACH OUT FOR MY DREAM,未発売,1999,,
SUNRISE日本,SUNRISE日本/HORIZON | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビ系「プロ野球ニュース2000」テーマソング,作詞：F&T / 作曲：馬飼野康二 / 編曲：CHOKKAKU
HORIZON,SUNRISE日本/HORIZON,2000,第31回「春の高校バレー」テーマソング,作詞：TAKESHI / 作曲：谷本新
台風ジェネレーション,台風ジェネレーション | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビイベント「お台場どっと混む!」テーマソング/ブルボン「プチシリーズ」CMソング,作詞：久保田洋司 / 作曲：馬飼野康二
明日に向かって吠えろ,台風ジェネレーション,2000,シドニーオリンピック男子バレーボール最終予選テーマソング,作詞：久世まりあ / 作曲：谷本新 / 編曲：CHOKKAKU
感謝カンゲキ雨嵐,感謝カンゲキ雨嵐 | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビ系ドラマ「涙をふいて」オープニングテーマ,作詞：戸沢暢美 / 作曲：馬飼野康二 / 編曲：CHOKKAKU
OK!ALL RIGHT!いい恋をしよう,感謝カンゲキ雨嵐,2000,,作詞：久保田洋司 / 作曲：谷本新 / 編曲：CHOKKAKU
君のために僕がいる,君のために僕がいる,2001,森永乳業エスキモー「ピノ」CMソング,作詞：大倉浩平 / 作曲・編曲：馬飼野康二
はなさない!,君のために僕がいる,2001,,作詞：牧穂エミ / 作曲・編曲：長岡成貢
時代,時代,2001,日本テレビ系ドラマ「金田一少年の事件簿」主題歌,作詞・作曲：TSUKASA / 編曲：CHOKKAKU
恋はブレッキー,時代,2001,TBS系「USO!?ジャパン」テーマソング,作詞：久世まりあ / 作曲：馬飼野康二 / 編曲：CHOKKAKU
DANGAN-LINER,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：TAKESHI / 作曲：谷本新 / 編曲：CHOKKAKU
サワレナイ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲・編曲：庄野賢一
愛と勇気とチェリーパイ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲・編曲：岩田雅之
Deepな冒険,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：CHOKKAKU
helpless,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：椎名祐生 / 作曲：ZAKI / 編曲：岩田雅之
On Sunday,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,日本テレビ系ドラマ「史上最悪のデート」主題歌,作詞：戸田暢美 / 作曲：守山茂樹 / 編曲：宗像仁志
野性を知りたい,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,ブルボン「プチシリーズ」CMソング,作詞：久保田洋司 / 作曲・編曲：ZAKI
アレルギー,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：TAKESHI / 作曲・編曲：岩田雅之
ココロチラリ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,日本マクドナルド「オイシサの嵐キャンペーン」CMソング,作詞：TAKESHI / 作曲・編曲：原一博
La tormenta 2001,未発売,2001,,Rap詞：櫻井翔 / 作曲：鈴木雅也
好きだった,未発売,2001,TBS系「ガキバラ!」テーマソング,作詞：相田毅 / 作曲：馬飼野康二
儚く散れ…SUBETE!!,未発売,2001,,作詞・作曲：二宮和也
ペーパーライダー,未発売,2001,,作詞：柚木美祐 / 作曲：宗像仁志
a Day in Our Life,a Day in Our Life | HERE WE GO!,2002,TBS系ドラマ「木更津キャッツアイ」主題歌/映画「木更津キャッツアイ 日本シリーズ」「木更津キャッツアイ ワールドシリーズ」主題歌,作詞・作曲・編曲：SHUN・SHUYA
ナイスな心意気,ナイスな心意気 | HERE WE GO!,2002,フジテレビ系アニメ「こちら葛飾区亀有公園前派出所」エンディングテーマ,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：石塚知生
PIKA☆NCHI,PIKA☆NCHI | How's it going?,2002,映画「ピカ☆ンチ LIFE IS HARDだけどHAPPY」主題歌,作詞：相田毅 / 作曲：谷本新 / 編曲：CHOKKAKU
