,(通常盤),リリース日,タイトル
1st,PCVP-52921,2000.06.28,スッピンアラシ
2nd,JAVA-5001 | JABA-5001,2002.06.12,ALL or NOTHING
3rd,JAVA-5002 | JABA-5002/5003,2003.12.17,How’s it going? SUMMER CONCERT 2003
4th,JAVA-5004 | JABA-5005/5006,2005.01.01,2004 嵐! いざッ、Now Tour!!
5th,JABA-5027/5028,2007.10.17,ARASHI AROUND ASIA + in DOME
6th,JABA-5038/5039,2008.04.16,SUMMER TOUR 2007 FINAL Time -コトバノチカラ-
7th,JABA-5046/5047,2009.03.25,ARASHI AROUND ASIA 2008 in TOKYO
8th,JABA-5099/5100,2009.10.28,5×10 All the BEST! CLIPS 1999-2009
9th ,JABA-5067/5068,2010.04.07,ARASHI Anniversary Tour 5×10
10th,JABA-5080/5081,2011.01.26,ARASHI 10-11 Tour “Scene”〜君と僕の見ている風景〜 STADIUM
11th,JABA-5087/5088,2011.06.15,ARASHI 10-11 Tour “Scene”〜君と僕の見ている風景〜 DOME+
12th,JABA-5101/5102,2012.05.23,ARASHI LIVE TOUR Beautiful World
13th,JABA-5017/5018,2012.12.26,ARASHI アラフェス NATIONAL STADIUM 2012
14th,JABA-5110/5111,2013.04.24,ARASHI LIVE TOUR Popcorn
15th,JABA-5114/5115 | JAXA-5001/5002,2014.05.21,ARASHI アラフェス’13 NATIONAL STADIUM 2013
16th,JABA-5118/5119 | JAXA-5003/5004,2014.07.30,ARASHI Live Tour 2013 “LOVE”
17th,JABA-5134/5135 | JAXA-5012/5013,2015.04.15,ARASHI BLAST in Hawaii
18th,JABA-5149/5150 | JAXA-5022/5023,2015.07.29 ,ARASHI LIVE TOUR 2014 THE DIGITALIAN
19th,JABA-5156/5157 | JAXA-5026,2016.01.01,ARASHI BLAST in Miyagi
20th,JABA-5169/5170 | JAXA-5030/5031,2016.08.24,ARASHI LIVE TOUR 2015 Japanism
21st,JABA-5183〜5185 | JAXA-5046〜5048,2017.05.31,ARASHI LIVE TOUR 2016-2017 Are You Happy?
22nd,JABA-5306〜5307 | JAXA-5067,2018.06.13,ARASHI LIVE TOUR 2017-2018「untitled」
23rd,JABA-5361〜5362 | JAXA-5100,2019.10.16,5×20 All the BEST!! CLIPS 1999-2019
24th,JABA-5387〜5388 | JAXA-5124〜5125,2020.09.30,ARASHI Anniversary Tour 5×20
25th,,,
