タイトル,最高位,登場週数,累計売上(枚),発売日
ARASHI No.1〜嵐は嵐を呼ぶ〜,1,5,"323,030",01.1.24
嵐 Single Collection 1999-2001,4,29,"156,555",02.5.16
HERE WE GO!,2,8,"148,049",02.7.17
How's it going?,2,14,"115,614",03.7.9
いざッ、Now,1,10,"151,729",04.7.21
5×5 THE BEST SELECTION OF 2002←2004,1,48,"192,276",04.11.10
One,1,17,"152,376",05.8.3
ARASHIC,1,22,"165,795",06.7.5
Time,1,86,"314,401",07.7.11
"Dream ""A"" live",1,53,"322,107",08.4.23
All the BEST! 1999-2009,1,352,"1,988,564",09.8.19
僕の見ている風景,1,85,"1,132,813",10.8.4
Beautiful World,1,66,"937,093",11.7.6
Popcorn,1,70,"951,936",12.10.31
LOVE,1,41,"848,242",13.10.23
THE DIGITALIAN,1,46,"823,513",14.10.22
Japonism,1,58,"1,023,486",15.10.21
Are You Happy?,1,39,"776,915",16.10.26
「untitled」,1,72,"813,949",17.10.18
5×20 All the BEST!! 1999-2019,1,65,"2,146,495",19.6.26
This is 嵐,1,?,"894,217",20.11.3
