リリースタイトル,リリース日,タイプ,型番,備考,売上枚数
A・RA・SHI,1999.11.03,シングル,PCDJ-00001,,"973,310"
SUNRISE日本/HORIZON,2000.04.05,シングル,PCCJ-00001,,"405,680"
スッピンアラシ,2000.06.28,VHS,PCVP-52921,,
台風ジェネレーション,2000.07.12,シングル,PCCJ-00002,,"361,100"
感謝カンゲキ雨嵐,2000.11..08,シングル,PCCJ-00003,,"362,490"
ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2001.01.24,アルバム,PCCJ-00004,,"323,030"
君のために僕がいる,2001.04.18,シングル,PCCJ-0005,,"323,020"
時代,2001.08.01,シングル,PCCJ-0007,,"384,460"
a Day in Our Life,2002.02.06,シングル,JADA-5001,,"378,050"
ナイスな心意気,2002.04.17,シングル,JACA-5080,,"249,000"
嵐 Single Collection 1999-2001,2002.05.16,アルバム,JACA-5001,,"156,555"
ALL or NOTHING,2002.06.12,DVD,JABA-5001,,
HERE WE GO!,2002.07.17,アルバム,JACA-5003,,"148,049"
PIKA☆NCHI,2002.10.17,シングル,JACA-5081,,"187,527"
とまどいながら,2003.02.13,シングル,JACA-5006,,"176,484"
How's it going?,2003.07.09,アルバム,JACA-5008,,"115,614"
ハダシの未来/言葉より大切なもの,2003.09.03,シングル,JACA-5010,,"223,384"
How's it going? SUMMER CONCERT 2003,2003.12.17,DVD,JABA-5002/5003,2024.11.03 Blu-ray リリース,"177,643"
PIKA★★NCHI DOUBLE,2004.02.18,シングル,JACA-5013,,"139,968"
いざッ、Now,2004.07.21,アルバム,JACA-5015,,"151,719"
瞳の中のGalaxy/Hero,2004.08.18,シングル,JACA-5018,,"256,569"
5×5 THE BEST SELECTION OF 2002←2004,2004.11.10,アルバム,JACA-5020,,"192,276"
スケッチ,2004.09.15,その他,ATOK-01,5周年記念,
2004 嵐! いざッ、Now Tour!!,2005.01.01,DVD,JABA-5005/5006,2024.11.03 Blu-ray リリース,"211,090"
サクラ咲ケ,2005.03.23,シングル,JACA-5022,,"174,331"
One,2005.08.03,アルバム,JACA-5025,,"152,376"
WISH,2005.11.16,シングル,JACA-5027,,"308,912"
きっと大丈夫,2006.05.17,シングル,JACA-5040,,"205,140"
ARASHIC,2006.07.05,アルバム,JACA-5042,,"165,795"
アオゾラペダル,2006.08.02,シングル,JACB-0003,,"190,883"
Love so sweet,2007.02.21,シングル,JACA-5053,,"456,935"
We can make it!,2007.05.02,シングル,JACA-5060,,"205,220"
